4.044,88.3,0.746,5.49
5.777,83.3,1.078,6.537
5.85,75,0.979,8.81
4.408,82,0.633,9.79
3.081,83.2,0.389,10.3
2.304,84.5,0.436,9.94
2.08,87,0.449,7.41
6.405,88.6,1.188,4.63
12.06,86.8,2.737,4.995
10.85,84.9,1.643,8.93
7.59,95.4,0.385,2.098
7.41,93.1,0.787,4.326
8.35,91.3,1.527,2.66
8.74,86.9,2.172,3.921
4.975,90,0.526,6.235
5.181,84.7,1.202,10.03
6.233,85.3,2.222,9.79
6.125,54.93,2.653,10.32
3.758,52.63,1.016,11.13
1.466,71.6,0.593,10.1
2.374,74.6,0.396,10.58
2.97,79.3,0.474,11.07
6.112,77.9,0.999,9.87
9.3,78.9,0.568,10.71
6.626,87.1,1.469,8.1
11.67,81.6,4.186,2.782
12.45,79.2,4.598,9.29
6.746,59.96,0.959,12.31
1.887,71.4,0.494,11.77
4.702,75.4,0.696,4.43
7.46,94,0.302,2.614
10.68,91.6,0.341,4.579
10.66,87.3,0.472,9.38
9.19,83.7,0.487,12.05
9.86,80.8,0.496,12.75
10.01,78.9,0.539,12.94
8.65,76.8,0.612,13.32
7.44,82.1,0.423,10.86
7.99,81.1,0.549,11.28
6.27,85.4,0.773,6.547
5.879,70.3,1.278,12.84
4.975,58.5,0.542,14.81
4.846,62.63,0.57,14.53
5.927,63.97,0.551,14.37
6.401,67.95,0.666,12.79
5.53,83.1,1.093,13.35
6.985,82.3,0.762,6.592
3.455,73.3,0.486,14.66
3.954,64.24,0.687,8.18
5.24,49.94,0.998,15.78
4.808,72.1,1.597,2.562
6.705,89.5,1.702,3.86
4.886,80.7,1.253,10.57
5.857,80,0.432,10.25
5.442,94.5,0.766,1.694
8.4,87.8,0.721,6.713
5.914,82.6,0.678,4.731
2.474,76,3.017,9.22
3.625,69.64,3.345,15.22
5.247,69.85,1.954,13.12
2.802,59.96,0.772,17.05
1.818,56.36,0.872,18.05
3.197,62.12,1.086,15.15
6.734,63.74,1.012,14.37
8.9,64.55,0.767,9.44
11.88,75,2.412,11.01
8.97,62.02,0.773,19.01
8.32,75.9,0.943,15.46
10.29,73.3,1.044,16.59
12.21,73.3,2.248,13.29
11.07,75.6,2.52,15.49
10.67,82.3,2.091,4.919
8.53,88.1,0.719,6.178
8.96,84.1,0.511,16.22
11.64,74,0.843,17.93
10.96,77,0.884,12.75
11.59,75.3,0.759,10.17
11.09,78.3,0.79,16.72
12.51,67.84,0.717,19.78
12.93,64.19,0.739,20.39
13.54,63.2,1.645,19.66
9.78,51.65,1.526,21.92
8.5,50.1,1.533,20.62
8.01,74.7,0.927,5.996
7.47,49.66,1.138,22.44
3.765,79.8,1.143,3.563
5.126,86,1.107,4.311
4.758,93.8,1.316,2.786
7.62,90,1.031,5.296
8.5,91.2,1.855,3.672
9.46,76.6,2.164,11.76
9.01,78.5,2.221,6.465
8.18,79.1,2.724,15.1
9.33,78.2,0.705,19.87
11.74,75.6,0.547,20.87
13.2,72.9,0.604,20.26
14.49,68.1,1.11,24.22
14.42,61.88,0.793,23.35
12.17,63.92,1.183,15.18
8.83,47.5,1.547,25.45
7.04,54.45,1.448,21.07
7.5,54.98,1.126,20.99
8.64,58.54,1.045,17.43
9.42,55.2,0.97,25.76
10.72,53.23,0.958,25.78
11.76,59.61,1.563,21.99
12.84,76.3,1.811,11.92
9.9,73.1,2.32,12.12
9.97,71.3,3.753,11.21
9.95,59.97,3.056,19.84
11.49,73.4,2.212,16.53
13.56,68.81,1.374,23.59
12.49,59.15,2.733,24.15
12.43,58.63,0.896,27.26
14.96,55.77,0.642,27.78
16.57,53.41,0.856,27.72
18.03,51.89,0.806,27.53
18.49,52.67,1.011,23.06
13.86,71.5,1.18,11.15
12.91,73.9,1.412,19.24
11.13,55.74,1.886,22.55
9.89,79.6,1.3,8.75
10.25,85.3,0.963,11.61
10.99,78.2,1.193,9.41
12.64,63.67,1.963,24.65
11.88,75.2,5.361,13.93
11.65,58.35,2.745,22.96
11.15,56.64,1.72,19.19
11.35,53.12,0.775,30.12
11.97,67.42,1.488,23.61
12.29,80.6,0.808,17.22
11.47,88.8,0.846,5.495
12.7,81.7,0.781,11.26
14.6,66.59,0.925,25.75
14.39,60.27,0.863,27.61
15.61,62.26,0.933,25.16
17.02,56.06,0.743,29.45
18.03,57.13,0.751,25.59
18.78,48.03,0.972,29.84
18.78,43.73,1,30.07
18.55,45.55,0.877,29.58
15.71,66.15,0.876,12.77
16.4,80.2,0.716,21.3
15.16,83.6,0.75,14.78
15.03,84.7,0.591,11.11
15.44,84,0.712,12.83
16.8,77.9,0.726,18.49
17.71,74.3,0.553,24.32
18.87,69.87,0.649,25.9
19.77,65.93,0.653,28.32
21.11,63.88,0.879,27.93
21.96,63.12,0.471,29.67
23,60.56,0.511,29.62
24.02,53.11,0.594,26.71
22.37,40.17,0.572,30.6
21.73,44.94,0.599,30.78
23.68,49.31,0.665,30.25
24.22,50.88,0.933,26.97
22.43,65.95,0.818,23.77
24.15,48.29,0.794,29.23
24.68,44.67,0.801,28.76
25.15,47.33,0.678,28.78
25.64,46.38,0.54,26.99
24.43,55.51,0.812,24.41
23.16,52.04,0.794,29.46
20.33,40.74,1.155,30.67
19.3,51.29,0.651,28.35
21.71,48.54,0.644,29.43
23.06,49.49,0.548,30.18
24.78,40.4,1.033,28.97
22.24,44.89,2.169,28.96
21.4,44.55,0.865,25.56
21.18,50.07,1.11,28.76
23.95,44.93,1.146,25.45
25.04,49.39,1.938,29.16
26.16,51.26,0.91,27.53
26.42,51.79,0.739,27.19
27.83,48.87,0.571,29.34
29.21,42.67,0.633,29.47
29.89,35.84,0.637,28.26
29.01,40.42,0.79,29.49
28.11,37.14,1.167,30
26.37,39.67,0.755,29.53
25.95,44.14,0.63,29.33
26.43,51.46,0.775,29.17
27.35,46.28,0.759,28.89
27.93,40.01,0.712,27.34
24.08,57.78,1.283,15.91
19.57,41.94,2.38,30.06
17.48,46.84,1.206,30.1
19.25,49.31,0.646,29.84
21.41,47.88,0.801,26.08
22.84,46.38,0.689,27.01
21.45,42.37,0.726,29.13
21.6,41.54,0.578,29.62
23.8,43.5,0.593,29.08
26.34,46.81,0.695,28.58
27.04,44.07,0.895,24.98
26.46,50.24,0.74,25.65
25.72,40.92,0.887,27.38
24.09,44.04,0.974,23.93
24.34,48.31,0.71,28.49
25.65,49.17,0.628,27.57
26.8,45.99,0.949,27.84
28.46,44.57,0.558,22.8
28.23,47.96,0.609,22.82
27.43,41.91,0.804,26.34
25.83,39.19,0.587,27.58
25.16,49.6,0.538,26.45
26.43,42.15,1.036,25.6
25.46,41.38,0.628,25.97
27.67,43.72,0.68,25.54
29.52,38.36,0.805,25.2
28.06,43.06,0.731,22.69
28.22,37.97,1.192,24.88
24.96,42.23,1.584,23.05
24.24,50.25,1.024,26.33
23.63,53.55,0.553,26.87
25.81,48.05,0.682,24.78
28.06,39.09,0.841,23.24
27.11,49.24,1.471,23.18
19.4,77.7,1.22,8.58
19.63,70.4,1.14,22.15
21.64,59.83,1.191,26.4
22.45,57.33,1.858,23.65
21.97,55.91,0.614,26.59
24.23,54.57,0.508,26.44
25.66,51.92,0.788,26.13
25.01,48.62,1.763,25.62
21.89,64.49,1.62,9.23
22.03,62.49,1.622,25.18
19.71,71,1.576,16.76
19.34,55.92,0.865,25.9
19.41,54,0.568,25.73
22.51,60.08,0.576,17.65
27.04,49.06,0.97,19.53
26.28,48.29,1.032,23.44
24.13,47.52,1.064,23.79
22.19,52.17,0.437,24.85
23,50.82,0.708,24.65
23.77,43.21,0.781,23.72
23.26,55.9,0.64,24.05
23.54,54.39,0.665,23.7
22.47,49.68,0.788,24.21
22.18,49.76,0.713,22.96
22.25,48.89,0.762,17.98
18.2,81.5,0.505,5.632
23.92,65.45,1.495,14.71
25.26,53.25,0.885,18.44
21.01,54.86,0.533,21.7
23.87,54.46,1.392,21.87
26.15,57.56,2.081,19.71
25.96,55.36,1.176,18.27
23.76,57.67,0.555,20.55
22.88,51.59,0.565,18.74
21.63,51.05,0.642,21.1
21.03,47.39,0.906,21.11
19.31,49.66,1.031,18.36
19,49.36,1.003,20.8
17.37,53.01,0.542,21.01
18.42,48.86,0.56,20.95
19.94,48.31,0.656,19.51
20.81,45.21,0.657,20.41
21.12,54.3,0.605,19.73
21.66,51.73,0.527,19.69
20.8,46.35,0.558,19.89
20.46,42.62,0.566,19.05
21.96,37.47,0.653,18.95
17.81,43.63,0.725,19.33
16.38,46.25,0.665,19.25
18.24,50.72,0.705,19.32
17.93,53.69,0.481,18.66
17.24,47.88,0.424,18.7
18.16,44.53,0.596,18.32
18.94,46.58,0.647,17.78
19.02,46.64,0.498,17.33
18.55,50.87,0.459,16.44
18.84,51.08,0.482,16.94
19.31,53.1,0.477,15.54
19.19,50.39,0.7,14.74
19.42,51.28,0.642,15.48
21.22,53.02,1.804,11.6
15.81,64.99,1.758,14.08
13.13,63.67,1.823,11.94
14.26,64.83,1.8,13.33
13.77,60.45,0.92,13.43
10.7,54.96,0.761,16
11.6,54.56,1.379,14.66
13.06,55.69,1.637,12.85
12.5,60.19,1.639,15.53
12.9,63.28,0.526,15.27
13.6,65.08,0.679,6.641
18.6,77.6,1.861,5.063
